a,t0,Kp,Ti,Td,beta,Jdi,Jdo,Jr,JdiNorm,JdoNorm,JrNorm,Ms
1,1.5,0.55123,1.6827,0.82732,1,3.497,3.6443,4.1544,0,0.18176,1,1.4
1,1.5,0.55128,1.6842,0.82647,1,3.4971,3.6438,4.1526,0.00060411,0.17857,0.9932,1.4
1,1.5,0.55133,1.6858,0.82562,1,3.4973,3.6433,4.1508,0.0012164,0.17539,0.98641,1.4
1,1.5,0.55138,1.6873,0.82477,1,3.4974,3.6429,4.1491,0.001829,0.17221,0.97963,1.4
1,1.5,0.55143,1.6888,0.82393,1,3.4976,3.6424,4.1473,0.0024555,0.16904,0.97286,1.4
1,1.5,0.55149,1.6904,0.82309,1,3.4978,3.642,4.1455,0.0030832,0.16588,0.96611,1.4
1,1.5,0.55154,1.6919,0.82225,1,3.4979,3.6415,4.1437,0.0037072,0.16271,0.95934,1.4
1,1.5,0.5516,1.6935,0.82141,1,3.4981,3.6411,4.142,0.0043493,0.15956,0.9526,1.4
1,1.5,0.55165,1.695,0.82058,1,3.4982,3.6406,4.1402,0.0049942,0.15642,0.94587,1.4
1,1.5,0.55171,1.6966,0.81976,1,3.4984,3.6402,4.1384,0.0056405,0.15328,0.93914,1.4
1,1.5,0.55177,1.6981,0.81893,1,3.4986,3.6398,4.1367,0.0062985,0.15015,0.93243,1.4
1,1.5,0.55183,1.6997,0.81811,1,3.4987,3.6393,4.1349,0.0069605,0.14703,0.92572,1.4
1,1.5,0.55189,1.7012,0.8173,1,3.4989,3.6389,4.1332,0.0076258,0.14391,0.91902,1.4
1,1.5,0.55195,1.7028,0.81648,1,3.4991,3.6384,4.1314,0.008295,0.1408,0.91232,1.4
1,1.5,0.55201,1.7043,0.81567,1,3.4993,3.638,4.1297,0.0089701,0.1377,0.90564,1.4
1,1.5,0.55207,1.7059,0.81487,1,3.4994,3.6375,4.1279,0.0096551,0.1346,0.89898,1.4
1,1.5,0.55214,1.7075,0.81407,1,3.4996,3.6371,4.1262,0.010337,0.1315,0.8923,1.4
1,1.5,0.5522,1.709,0.81327,1,3.4998,3.6367,4.1244,0.011034,0.12843,0.88565,1.4
1,1.5,0.55227,1.7106,0.81248,1,3.5,3.6362,4.1227,0.011737,0.12535,0.87902,1.4
1,1.5,0.55233,1.7122,0.81169,1,3.5001,3.6358,4.1209,0.012439,0.12228,0.87237,1.4
1,1.5,0.5524,1.7138,0.8109,1,3.5003,3.6354,4.1192,0.013148,0.11921,0.86574,1.4
1,1.5,0.55247,1.7153,0.81012,1,3.5005,3.6349,4.1175,0.013858,0.11615,0.85912,1.4
1,1.5,0.55254,1.7168,0.80952,0.9999,3.5006,3.6345,4.1159,0.014457,0.11306,0.85318,1.4
1,1.5,0.55261,1.7185,0.80857,1,3.5009,3.634,4.114,0.015305,0.11006,0.84591,1.4
1,1.5,0.55268,1.7201,0.8078,1,3.501,3.6336,4.1123,0.016031,0.10701,0.83931,1.4
1,1.5,0.55275,1.7217,0.80704,1,3.5012,3.6332,4.1105,0.016768,0.10398,0.83273,1.4
1,1.5,0.55282,1.7233,0.80628,1,3.5014,3.6328,4.1088,0.01751,0.10096,0.82615,1.4
1,1.5,0.5529,1.7248,0.80552,1,3.5016,3.6323,4.1071,0.018259,0.097942,0.81958,1.4
1,1.5,0.55297,1.7264,0.80477,1,3.5018,3.6319,4.1054,0.019006,0.094925,0.81302,1.4
1,1.5,0.55305,1.728,0.80402,1,3.502,3.6315,4.1036,0.019761,0.091917,0.80647,1.4
1,1.5,0.55313,1.7296,0.80328,1,3.5022,3.631,4.1019,0.020528,0.088922,0.79993,1.4
1,1.5,0.5532,1.7312,0.80254,1,3.5024,3.6306,4.1002,0.021293,0.085926,0.79339,1.4
1,1.5,0.55328,1.7329,0.80181,1,3.5026,3.6302,4.0985,0.022065,0.082937,0.78687,1.4
1,1.5,0.55336,1.7345,0.80108,1,3.5028,3.6298,4.0968,0.022839,0.079951,0.78034,1.4
1,1.5,0.55345,1.7361,0.80036,1,3.503,3.6293,4.0951,0.02362,0.076975,0.77384,1.4
1,1.5,0.55353,1.7377,0.79964,1,3.5032,3.6289,4.0934,0.02441,0.074009,0.76734,1.4
1,1.5,0.55361,1.7393,0.79893,1,3.5034,3.6285,4.0917,0.025201,0.071044,0.76085,1.4
1,1.5,0.5537,1.7409,0.79822,1,3.5036,3.6281,4.09,0.025997,0.068085,0.75436,1.4
1,1.5,0.55379,1.7426,0.79752,1,3.5038,3.6277,4.0883,0.026793,0.065127,0.74787,1.4
1,1.5,0.55387,1.7442,0.79686,0.99998,3.504,3.6272,4.0866,0.027572,0.062168,0.74154,1.4
1,1.5,0.55396,1.7458,0.79614,1,3.5042,3.6268,4.0849,0.028411,0.059242,0.73495,1.4
1,1.5,0.55406,1.7474,0.79559,0.9999,3.5043,3.6264,4.0833,0.029082,0.056234,0.7291,1.4
1,1.5,0.55414,1.7491,0.79517,1,3.5047,3.626,4.0816,0.030398,0.053805,0.72262,1.4
1,1.5,0.55423,1.7507,0.79501,1,3.505,3.6257,4.0801,0.031667,0.051421,0.7169,1.4
1,1.5,0.55432,1.7523,0.79486,1,3.5053,3.6254,4.0786,0.032941,0.049045,0.71121,1.4
1,1.5,0.55441,1.7539,0.79473,1,3.5056,3.625,4.0771,0.034216,0.046669,0.70551,1.4
1,1.5,0.55451,1.7556,0.7946,1,3.506,3.6247,4.0757,0.035499,0.044303,0.69981,1.4
1,1.5,0.55461,1.7572,0.7945,1,3.5063,3.6243,4.0742,0.036786,0.041942,0.69414,1.4
1,1.5,0.55471,1.7588,0.7944,1,3.5066,3.624,4.0727,0.038083,0.039592,0.68846,1.4
1,1.5,0.55481,1.7605,0.79433,1,3.5069,3.6237,4.0712,0.039382,0.037246,0.6828,1.4
1,1.5,0.55492,1.7621,0.79427,1,3.5073,3.6233,4.0697,0.040691,0.034913,0.67716,1.4
1,1.5,0.55502,1.7638,0.79423,1,3.5076,3.623,4.0682,0.042008,0.032587,0.67152,1.4
1,1.5,0.55513,1.7655,0.79421,1,3.5079,3.6227,4.0668,0.043336,0.030277,0.66591,1.4
1,1.5,0.55525,1.7672,0.79422,1,3.5083,3.6224,4.0653,0.044677,0.027981,0.66031,1.4
1,1.5,0.55536,1.7688,0.79426,1,3.5086,3.622,4.0638,0.046033,0.025704,0.65474,1.4
1,1.5,0.55548,1.7705,0.79432,1,3.509,3.6217,4.0624,0.047401,0.023443,0.6492,1.4
1,1.5,0.5556,1.7722,0.79442,1,3.5093,3.6214,4.0609,0.048787,0.021202,0.64368,1.4
1,1.5,0.55572,1.7739,0.79456,1,3.5097,3.6211,4.0595,0.050197,0.01899,0.63819,1.4
1,1.5,0.55585,1.7756,0.79474,1,3.51,3.6208,4.0581,0.051629,0.016805,0.63275,1.4
1,1.5,0.55598,1.7773,0.79497,1,3.5104,3.6205,4.0566,0.053086,0.014652,0.62735,1.4
1,1.5,0.55612,1.7791,0.79527,1,3.5108,3.6202,4.0552,0.05457,0.012531,0.62199,1.4
1,1.5,0.55625,1.7808,0.79562,1,3.5112,3.6199,4.0539,0.056102,0.010468,0.61671,1.4
1,1.5,0.5564,1.7826,0.79605,1,3.5116,3.6196,4.0525,0.057675,0.0084551,0.61149,1.4
1,1.5,0.55654,1.7843,0.79659,1,3.512,3.6193,4.0511,0.059304,0.0065106,0.60637,1.4
1,1.5,0.5567,1.7861,0.79724,1,3.5124,3.619,4.0498,0.061008,0.0046556,0.60136,1.4
1,1.5,0.55686,1.7879,0.79806,1,3.5129,3.6188,4.0486,0.062802,0.0029118,0.59651,1.4
1,1.5,0.55702,1.7897,0.79909,1,3.5133,3.6186,4.0473,0.064734,0.0013367,0.59189,1.4
1,1.5,0.5572,1.7915,0.80044,1,3.5139,3.6184,4.0462,0.066862,0,0.58758,1.4
1,1.5,0.55743,1.7934,0.80386,1,3.5148,3.6184,4.0457,0.070391,0.00036637,0.58556,1.4
1,1.5,0.55626,1.7907,0.78985,1,3.5153,3.6202,4.0447,0.072369,0.012647,0.58164,1.4
1,1.5,0.55641,1.7925,0.79028,1,3.5157,3.6199,4.0433,0.073919,0.010606,0.57639,1.4
1,1.5,0.55657,1.7943,0.79082,1,3.5161,3.6196,4.0419,0.07552,0.008625,0.57121,1.4
1,1.5,0.55674,1.7961,0.79147,1,3.5165,3.6193,4.0406,0.077183,0.006722,0.56614,1.4
1,1.5,0.55584,1.7954,0.78377,1,3.5184,3.6215,4.0399,0.084783,0.021917,0.56363,1.4
1,1.5,0.55599,1.7972,0.78404,1,3.5188,3.6212,4.0385,0.086225,0.019743,0.55819,1.4
1,1.5,0.55616,1.799,0.78437,1,3.5191,3.6209,4.0371,0.087693,0.017604,0.55281,1.4
1,1.5,0.55528,1.7983,0.77829,1,3.5214,3.6232,4.0369,0.096452,0.034209,0.55218,1.4
1,1.5,0.55543,1.8001,0.77842,1,3.5217,3.6229,4.0355,0.097815,0.031941,0.54663,1.4
1,1.5,0.55559,1.8019,0.7786,1,3.522,3.6226,4.034,0.09919,0.029687,0.54109,1.4
1,1.5,0.55488,1.803,0.7735,1,3.5248,3.6248,4.0327,0.10995,0.044795,0.53595,1.4
1,1.5,0.55504,1.8048,0.77358,1,3.5251,3.6244,4.0312,0.11127,0.042481,0.53032,1.4
1,1.5,0.55435,1.8059,0.76904,1,3.5279,3.6267,4.03,0.12246,0.05812,0.5259,1.4
1,1.5,0.55451,1.8077,0.76905,1,3.5282,3.6263,4.0285,0.12375,0.055759,0.52021,1.4
1,1.5,0.55381,1.8088,0.76491,1,3.5312,3.6286,4.0275,0.13527,0.071802,0.51633,1.4
1,1.5,0.55398,1.8106,0.76487,1,3.5315,3.6283,4.026,0.13653,0.069406,0.5106,1.4
1,1.5,0.55329,1.8117,0.76105,1,3.5345,3.6306,4.0251,0.14832,0.085771,0.50714,1.4
1,1.5,0.55346,1.8135,0.76097,1,3.5348,3.6302,4.0236,0.14955,0.08334,0.50136,1.4
1,1.5,0.55278,1.8147,0.7574,1,3.5378,3.6326,4.0228,0.16155,0.099965,0.49827,1.4
1,1.5,0.55295,1.8165,0.7573,1,3.5381,3.6323,4.0213,0.16276,0.097517,0.4925,1.4
1,1.5,0.55227,1.8176,0.75392,1,3.5412,3.6347,4.0205,0.17496,0.11437,0.48966,1.4
1,1.5,0.55244,1.8194,0.75378,1,3.5415,3.6343,4.019,0.17616,0.1119,0.48384,1.4
1,1.5,0.55177,1.8206,0.75058,1,3.5446,3.6367,4.0183,0.18849,0.12893,0.48127,1.4
1,1.5,0.55195,1.8224,0.75041,1,3.5449,3.6364,4.0168,0.18967,0.12644,0.47543,1.4
1,1.5,0.55129,1.8234,0.74757,0.99993,3.548,3.6388,4.0164,0.2019,0.14349,0.47378,1.4
1,1.5,0.55146,1.8254,0.74716,1,3.5483,3.6385,4.0146,0.20332,0.14114,0.46722,1.4
1,1.5,0.5508,1.8265,0.74422,1,3.5515,3.6409,4.0141,0.2159,0.15847,0.46506,1.4
1,1.5,0.55098,1.8283,0.74401,1,3.5518,3.6406,4.0125,0.21706,0.15595,0.45917,1.4
1,1.5,0.55033,1.8295,0.74116,1,3.555,3.6431,4.012,0.22974,0.17341,0.45719,1.4
1,1.5,0.55051,1.8313,0.74093,1,3.5553,3.6427,4.0104,0.23089,0.17087,0.45127,1.4
1,1.5,0.54986,1.8325,0.73817,1,3.5585,3.6452,4.01,0.24366,0.18844,0.44943,1.4
